
ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
223,     1,     2,     1,     7,     1,     7,     6,     2,     0,     8,     9,     6,    10,     3,     6,     5,     8,     7,     2,     5
224,     2,     0,     0,     7,     3,     7,     7,     8,     0,     9,     9,     6,     7,     4,     7,     6,     9,     5,     8,     3
225,     0,     4,     2,    10,     5,     7,     7,     4,     2,    10,     9,     5,     8,     3,     5,     5,    10,     6,     5,     7
226,     1,     1,     1,     9,     0,     5,     9,     4,     0,     9,     9,     8,     8,     2,     7,     2,     8,     7,     5,     7
227,     5,     3,     9,     8,     5,     6,     3,     6,     7,     9,     3,     7,     2,     6,     5,     6,     8,     8,     3,     3
228,     4,     5,     5,     7,     3,     5,     9,     3,     3,     8,     1,     3,     3,     6,     4,     8,     8,     3,     6,     2
229,     2,     1,     1,     9,     2,     2,    10,     6,     2,     8,     9,     9,     7,     3,     5,     8,     8,     5,     8,     6
230,     6,     5,    10,     8,     0,     7,     6,     5,     8,     2,     1,     6,     3,     1,     7,     7,     9,     5,     1,     2
231,     4,     7,     8,     8,     0,     5,     2,     8,     7,     2,     1,     8,     6,     6,     3,     5,     9,     4,     1,     2
232,    10,     9,     7,     8,     9,     7,     9,     5,     6,     3,     3,     6,     5,     2,     0,     5,     0,     3,     4,     1
233,     3,     1,     3,     9,     1,     5,     8,     4,     1,     8,     9,     9,     7,     1,     7,     9,     8,     5,     4,     5
234,    10,     7,     7,     9,     8,     5,     6,     5,     3,     2,     2,     7,     4,     2,     2,     5,     1,     6,     4,     2
235,     3,     3,     2,     7,     1,     3,     9,     6,     0,     9,     8,     6,     7,     2,     6,     3,     9,     1,     6,     8
236,     5,     3,     7,     7,     6,     6,     8,     5,     5,     6,     2,     6,     4,     6,     3,     5,     5,     5,     4,     1
237,     3,     7,     8,     5,     0,     7,     4,     5,     7,     1,     0,     7,     5,     3,     2,     5,     8,     3,     0,     0
238,     6,     5,     9,     7,     0,     9,     5,     4,     6,     2,     2,     5,     2,     1,     4,     4,     6,     6,     1,     2
239,     3,     0,     4,     8,     3,     5,     5,     7,     1,     8,    10,     8,     7,     2,     3,     3,     7,     5,     5,     3
240,     5,     4,     5,     9,     5,     7,     9,     5,     5,    10,     1,     5,     5,     8,     3,     4,     7,     0,     5,     1
241,     5,     3,     5,     6,     7,     6,     5,     3,     5,     6,     3,     6,     5,     6,     1,     6,     7,     7,     4,     3
242,    10,     8,     7,     8,     8,     8,     9,     6,     6,     3,     4,     5,     6,     2,     2,     5,     0,     4,     6,     3
243,     4,     7,     9,     6,     1,     8,     8,     5,     8,     3,     1,     3,     5,     4,     1,     6,     9,     3,     0,     4
244,     1,     1,     3,     8,     3,     4,     7,     5,     3,    10,     7,     4,     7,     2,     5,     7,     7,     5,     3,     5
245,     2,     1,     0,     8,     0,     6,     6,     7,     1,     9,     9,     7,     9,     3,     4,     4,     8,     6,     5,     4
246,     9,     8,     9,    10,     9,     6,     8,     5,     6,     1,     1,     5,     7,     2,     3,     2,     0,     5,     4,     4
247,     1,     1,     2,    10,     3,     6,     9,     4,     2,     9,     8,     5,     7,     1,     6,     4,    10,     6,     5,     7
248,     4,     4,     7,     5,     5,     6,     5,     6,     4,     7,     4,     7,     2,     4,     2,     4,     8,     4,     7,     0
249,     3,     1,     1,     6,     3,     8,     7,     5,     2,     9,     6,     6,     6,     6,     3,     5,     7,     3,     6,     9
250,     4,     4,     6,     6,     5,     4,     7,     4,     3,     8,     3,     7,     2,     5,     3,     5,     7,     5,     7,     2
251,     5,     1,     1,     6,     5,     8,     6,     8,     0,     9,    10,     4,     4,     3,     5,     4,    10,     5,     5,     7
252,    10,    10,     8,     8,     9,     6,     5,     6,     5,     5,     3,     4,     5,     3,     0,     3,     1,     5,     7,     3
253,     3,     1,     2,     8,     2,     6,     9,     5,     1,    10,    10,     6,     6,     0,     6,     4,    10,     6,     6,     7
254,     3,     3,     2,    10,     3,     6,     9,     3,     1,     8,     5,     6,     9,     4,     5,     5,     7,     5,     5,     3
255,     1,     1,     1,     9,     3,     7,     6,     3,     1,    10,     8,     5,     7,     4,     6,     4,     9,     7,     4,     4
256,     8,     4,     5,     7,     7,     7,     8,     4,     8,     9,     3,     8,     5,     9,     5,     7,     8,     6,     8,     0
257,     6,     6,     9,     7,     0,     7,     8,     6,     8,     4,     2,     6,     4,     2,     6,     5,     7,     5,     0,     3
258,    10,     7,     9,     9,     7,     4,     7,     6,     4,     3,     0,     6,     4,     1,     4,     4,     0,     4,     3,     4
259,     6,     7,     9,     4,     0,     7,     4,     3,     7,     2,     0,     3,     2,     2,     4,     6,     9,     4,     1,     2
260,     0,     0,     4,     7,     2,     5,     7,     3,     0,     7,     7,     6,     7,     4,     4,     7,     8,     6,     5,     7
261,     3,     4,     8,     4,     1,     5,     4,     4,     7,     0,     1,     4,     3,     3,     4,     4,     9,     4,     1,     4
262,     2,     1,     2,     8,     2,     7,     8,     3,     2,    10,    10,     6,     6,     2,     6,     7,     7,     6,     4,     8
263,     4,     1,     7,     6,     5,     7,     4,     5,     6,     9,     3,     6,     3,     7,     3,     6,     6,     3,     4,     4
264,     9,     8,     7,     8,     5,     4,     9,     6,     6,     3,     3,     5,     3,     3,     1,     5,     1,     5,     5,     1
265,     4,     5,    10,     7,     0,     6,     5,     4,     9,     2,     1,     6,     4,     3,     3,     2,     7,     4,     0,     2
266,    10,     7,     8,     9,    10,     6,     8,     2,     7,     0,     2,     6,     5,     2,     2,     5,     1,     5,     8,     2
267,     1,     5,     2,     7,     2,     6,     9,     3,     0,    10,     8,     5,     9,     4,     2,     6,     8,     7,     2,     5
268,     2,     1,     7,    10,     5,     6,     4,     2,     5,     9,     3,     3,     5,     6,     6,     6,     8,     1,     7,     3
269,     3,     2,     1,     7,     3,     2,     9,     6,     1,     8,     8,     6,     7,     4,     3,     8,     8,     5,     6,     6
270,     5,     6,     7,     9,     7,     7,     7,     4,     5,     8,     2,     4,     3,     7,     4,     4,     6,     6,     3,     3
271,    10,     8,     7,     8,     8,     5,     8,     4,     2,     1,     1,     5,     2,     3,     4,     5,     1,     5,     7,     1
272,     4,     3,     4,     6,     8,     4,     8,     3,     4,     9,     3,     9,     8,     5,     2,     5,     7,     5,     5,     2
273,     2,     1,     3,     8,     2,     4,     9,     4,     2,     9,    10,     7,     8,     2,     6,     3,     9,     3,     5,     5
274,     7,     6,    10,     8,     0,     5,     3,     5,     7,     1,     3,     5,     4,     1,     5,     6,     9,     5,     0,     3
275,     5,     5,     6,     4,     0,     9,     6,     6,     6,     4,     0,     7,     5,     1,     4,     6,     7,     7,     0,     3
276,     5,     5,     9,     7,     0,     7,     5,     3,    10,     3,     2,     6,     3,     0,     3,     6,     9,     1,     1,     3
277,     4,     6,     8,     6,     0,     7,     6,     3,     8,     3,     2,     7,     5,     2,     4,     4,     8,     6,     1,     4
278,     2,     2,     8,     6,     8,     5,     5,     6,     5,     9,     1,     6,     5,     7,     5,     6,     8,     5,     4,     4
279,     3,     6,     8,     7,     0,     8,     4,     7,    10,     2,     0,     4,     2,     2,     4,     5,     8,     6,     0,     1
280,     9,     9,     8,     8,    10,     6,     7,     7,     4,     3,     2,     5,     5,     2,     2,     3,     1,     3,     5,     2
281,     3,     1,     1,    10,     1,     6,     7,     2,     2,     8,     9,     3,     7,     4,     6,     9,     8,     7,     4,     7
282,     0,     3,     2,     9,     2,     9,     8,     6,     1,     8,     6,     5,     8,     4,     4,     4,     7,     5,     4,     8
283,     0,     1,     3,     7,     1,     7,     9,     5,     1,     6,     8,     4,     8,     2,     7,     3,     7,     5,     5,     7
284,     1,     0,     2,     9,     2,     8,     7,     4,     2,     8,     7,     5,     7,     0,     6,     6,     5,     6,     6,     7
285,     2,     1,     2,     7,     4,     5,     8,     4,     0,     7,     6,     9,     6,     4,     8,     6,     9,     4,     6,     7
286,    10,     8,     7,     9,    10,     6,     8,     7,     5,     4,     4,     6,     3,     2,     2,     8,     0,     4,     5,     4
287,     2,     3,     0,     7,     2,     3,     8,     6,     0,     9,     9,     6,     7,     4,     7,     7,     7,     5,     5,     8
288,     4,     2,     3,     9,     3,     5,     8,     7,     0,     6,     8,     6,     6,     3,     7,     3,     8,     2,     6,     9
289,     4,     7,    10,     3,     0,     9,     2,     5,     8,     3,     1,     8,     2,     3,     2,     4,     9,     5,     0,     3
290,    10,     9,     9,     8,     9,     7,     9,     6,     7,     2,     2,     5,     3,     3,     0,     5,     0,     6,     4,     1
291,    10,     6,    10,     7,     9,     6,     9,     4,     4,     2,     2,     6,     5,     3,     0,     7,     2,     6,     6,     4
292,     3,     3,     1,     9,     2,     5,     8,     5,     1,     8,     8,     6,    10,     2,     7,     4,     8,     2,     4,     4
293,     4,     1,     5,     9,     6,     8,     7,     4,     6,     8,     2,     7,     2,     6,     2,     6,     8,     1,     7,     2
294,     9,     5,     9,     7,     9,     7,     8,     3,     3,     1,     2,     4,     5,     1,     4,     6,     2,     4,     6,     3
295,     3,     3,     2,     8,     4,     5,    10,     4,     2,     7,     7,     3,     9,     0,     8,     6,     8,     8,     3,     6
296,     7,    10,     9,     9,     8,     6,     5,     7,     5,     1,     1,     5,     6,     3,     0,     6,     1,     3,     8,     2
297,     2,     2,     8,     8,     5,     4,     6,     2,     5,     9,     2,     5,     6,     9,     0,     4,     5,     3,     5,     1
298,     2,     3,     7,     7,     8,     8,     5,     6,     5,     9,     1,     5,     5,     6,     3,     4,     7,     5,     4,     3
299,     5,     2,     7,     9,     6,     9,     7,     4,     5,     9,     3,     6,     3,     7,     2,     5,     7,     6,     6,     0
300,     1,     1,     3,     7,     1,     9,     6,     4,     0,     7,     7,     5,     7,     3,     6,     6,    10,     6,     3,     9
301,     6,     3,     7,     7,     5,     6,     6,     4,     6,     9,     2,     3,     4,     6,     2,     6,     6,     6,     5,     0
302,     6,     6,     9,     7,     0,     7,     5,     5,     9,     2,     0,     4,     3,     3,     3,     5,     3,     7,     1,     2
303,     4,     0,     6,     8,     8,     6,     7,     4,     2,     8,     2,     4,     4,     6,     1,     6,     6,     6,     3,     3
304,     9,     7,     8,     7,     9,     8,     8,     4,     7,     1,     2,     5,     4,     2,     3,     5,     0,     7,     6,     2
305,     4,     7,     8,     6,     0,     8,     1,     6,     9,     2,     0,     7,     1,     3,     4,     5,     9,     6,     0,     4
306,     3,     2,     2,     6,     0,     4,     7,     5,     1,     9,     8,     6,     8,     2,     9,     6,     7,     4,     8,     4
307,     5,     4,    10,     6,     1,     8,     7,     5,     7,     1,     0,     7,     4,     3,     2,     4,     5,     2,     1,     5
308,     5,     4,     8,     7,     7,     8,     4,     6,     9,     7,     3,     4,     7,     5,     3,     4,     6,     3,     7,     3
309,     6,     5,     5,     7,     5,     5,     5,     2,     3,     8,     3,     5,     3,     3,     4,     4,     7,     5,     6,     1
310,     7,     5,     9,     6,     1,     7,     5,     5,     8,     2,     0,     6,     1,     2,     1,     3,     9,     3,     0,     5
311,    10,     7,    10,     9,     6,     7,     7,     6,     2,     1,     1,     7,     4,     4,     1,     4,     1,     6,     5,     1
312,     5,     6,    10,     8,     0,     7,     4,     4,     7,     1,     2,     5,     2,     1,     3,     6,     8,     6,     1,     2
313,     5,     1,     8,     7,     7,     6,     5,     3,     3,     9,     4,     5,     2,     5,     3,     2,     7,     5,     5,     2
314,    10,     7,     7,     9,     7,     5,     7,     4,     7,     6,     1,     2,     6,     3,     1,     5,     2,     6,     3,     1
315,     4,     0,     5,     9,     6,     3,     2,     5,     7,     6,     0,     6,     4,     7,     5,     5,     8,     3,     5,     4
316,     6,     7,    10,     4,     1,     9,     3,     6,     7,     4,     1,     6,     0,     6,     5,     7,     9,     5,     2,     5
317,     4,     3,     4,     7,     2,     3,     9,     6,     1,     9,     8,     9,     7,     3,     6,     7,     8,     5,     8,     7
318,     6,     6,     9,     4,     0,     7,     5,     4,     8,     1,     3,     5,     4,     3,     2,     5,     7,     4,     2,     3
319,     5,     6,    10,     6,     0,     8,     5,     5,     7,     2,     1,     4,     8,     3,     3,     6,     8,     4,     0,     3
320,     2,     1,     3,     8,     1,     6,    10,     7,     0,    10,     8,     8,     7,     4,     5,     5,     7,     2,     5,     6
321,    10,     7,     9,     8,     8,     6,     8,     5,     6,     3,     0,     8,     3,     4,     2,     4,     2,     7,     4,     3
322,    10,     9,     5,     8,     8,     6,     8,     3,     4,     5,     2,     7,     6,     2,     1,     3,     0,     6,     5,     1
323,     0,     2,     1,     9,     3,     4,    10,     5,     1,     9,     8,     9,     8,     3,     5,     4,     7,     5,     3,     6
324,     7,     6,     8,     6,     0,     6,     5,     7,     8,     2,     2,     2,     2,     0,     4,     2,     9,     3,     0,     5
325,     9,     9,     6,     7,     9,     8,     7,     6,     5,     3,     3,     7,     6,     1,     4,     2,     2,     6,     5,     1
326,     1,     4,     0,     8,     2,     6,     9,     6,     2,     9,     5,     4,     9,     3,     8,     2,     7,     5,     5,     4
327,     4,     5,     9,     9,     0,     9,     5,     4,     7,     1,     0,     7,     1,     2,     3,     5,     5,     5,     1,     4
328,     4,     3,     1,     6,     3,     3,     5,     5,     2,     6,     7,     5,     6,     1,     6,     5,     9,     5,     6,     4
329,     3,     6,     9,     7,     0,     5,     3,     5,    10,     2,     0,     5,     3,     2,     2,     6,     8,     7,     0,     4
330,     3,     4,     6,     8,     5,     9,     7,     5,     6,     8,     1,     4,     4,     8,     2,     8,     5,     7,     5,     2
331,     9,     7,     8,     7,     9,     5,    10,     4,     4,     3,     1,     5,     6,     2,     3,     8,     0,     2,     6,     1
332,     1,     0,     3,     7,     2,     7,     9,     6,     1,     6,     7,     6,     8,     3,     7,     7,     7,     2,     4,     7
333,     5,     7,     7,     4,     0,     8,     6,     3,     7,     3,     1,     7,     0,     3,     6,     2,     9,     3,     1,     2
334,     2,     3,     5,     7,     7,     6,     6,     6,     5,     8,     1,     3,     3,     5,     1,     7,     7,     9,     7,     2
335,     4,     6,     6,     9,     0,     5,     5,     4,    10,     1,     0,     3,     1,     2,     4,     6,     7,     4,     0,     1
336,     6,     3,     6,     7,     5,     6,     5,     5,     6,     8,     4,     5,     3,     7,     5,     6,     6,     4,     2,     2
337,     6,     6,     9,     3,     0,     6,     5,     4,     8,     4,     1,     3,     5,     3,     5,     6,     8,     5,     1,     2
338,     5,     5,     8,     8,     0,     9,     4,     4,    10,     4,     1,     7,     3,     3,     2,     5,    10,     5,     0,     4
339,     3,     7,     7,     6,     0,     9,     5,     4,     6,     2,     3,     4,     3,     2,     4,     4,    10,     5,     1,     3
340,    10,     8,     8,     7,     7,     7,     9,     6,     6,     2,     0,     2,     2,     3,     2,     5,     0,     4,     5,     2
341,     6,     7,     7,     4,     0,     8,     5,     5,     9,     2,     2,     8,     3,     6,     3,     7,     8,     5,     1,     4
342,     1,     3,     4,     9,     1,     6,     6,     5,     1,     7,     6,     6,     9,     0,     8,     5,     9,     5,     4,     5
343,     0,     2,     0,     7,     1,     6,     7,     7,     1,    10,    10,     2,     7,     2,     7,     6,    10,     8,     6,     6
344,     2,     2,     1,    10,     0,     9,     4,     4,     0,     7,     5,     6,     4,     3,     5,     4,     8,     5,     2,     8
345,     0,     1,     0,    10,     2,     5,     5,     8,     2,    10,     9,     5,     6,     2,     4,     5,    10,     4,     4,     7
346,     5,     2,     8,     6,     7,     9,     7,     5,     2,     7,     1,     6,     2,     7,     2,     4,     3,     5,     6,     1
347,     5,     3,     8,     3,     1,     7,     4,     5,     9,     1,     1,     3,     2,     4,     3,     6,     7,     6,     0,     4
348,     9,     8,     7,     9,     9,     7,    10,     6,     4,     2,     3,     3,     3,     1,     3,     5,     0,     2,     4,     2
349,     7,     3,     5,     5,     8,     6,    10,     5,     4,     8,     3,     6,     5,     6,     2,     6,     8,     5,     5,     1
350,    10,     8,     7,     9,     9,     8,     7,     3,     5,     3,     0,     8,     5,     3,     4,     5,     2,     5,     4,     0
351,     0,     2,     2,     7,     2,     5,     8,     7,     1,     9,     6,     1,     6,     3,     6,     6,    10,     5,     5,     5
352,     4,     1,     8,     6,     3,     7,     8,     5,     6,     9,     3,     4,     1,     5,     1,     7,     6,     5,     6,     2
353,     0,     3,     2,     7,     2,     6,     9,     7,     0,    10,     9,     7,     7,     0,     7,     7,     8,     8,     4,     6
354,     0,     1,     0,     9,     2,     8,     7,     3,     3,    10,     7,     6,     7,     2,     8,     6,     9,     4,     5,     6
355,     4,     5,     8,     7,     8,     7,     9,     7,     4,     8,     0,     7,     5,     2,     3,     6,     5,     2,     6,     2
356,     6,     7,     7,     6,     0,     8,     4,     6,     8,     3,     3,     6,     4,     3,     3,     5,     7,     5,     1,     3
357,     3,     1,     4,     7,     0,     6,     7,     5,     1,     8,     8,     7,     8,     2,     4,     6,     9,     6,     4,     7
358,    10,     8,     7,     4,     8,     7,    10,     4,     3,     0,     1,     5,     6,     4,     3,     6,     0,     5,     7,     0
359,     4,     6,     8,     3,     0,     6,     5,     5,     6,     2,     1,     5,     2,     1,     2,     6,     7,     7,     0,     5
360,     0,     0,     2,     8,     4,     9,     6,     4,     1,     7,     6,     7,     7,     4,     5,     5,     9,     4,     3,     6
361,     2,     3,     6,     9,     5,     5,     8,     8,     3,    10,     4,     6,     3,     4,     6,     6,     6,     3,     6,     1
362,     2,     1,     1,     8,     3,     5,     9,     8,     0,     9,     9,     3,     9,     2,     7,     5,     9,     1,     7,     7
363,     7,     2,     7,     8,     8,     8,     5,     9,     3,     7,     0,     3,     4,     5,     5,     5,     8,     4,     3,     1
364,    10,     9,     6,     9,     6,     7,     7,     5,     6,     1,     2,     4,     5,     0,     0,     5,     1,     4,     4,     3
365,     2,     2,     4,     9,     2,     4,    10,     3,     0,     9,     9,     3,     6,     2,     8,     5,     9,     5,     6,     7
366,     5,     3,     5,     8,     7,     8,     6,     4,     5,    10,     4,     6,     5,     6,     2,     4,     8,     7,     5,     4
367,     7,     5,     8,     6,     6,     5,     7,     2,     5,     7,     1,     7,     6,     3,     1,     4,     8,     5,     7,     1
368,     2,     4,     9,     6,     7,     7,     7,     3,     4,     8,     1,     5,     4,     7,     3,     5,     7,     7,     6,     4
369,     4,     2,     1,     9,     3,     7,     9,     5,     1,     7,    10,     6,     5,     1,     6,     4,     7,     3,     6,     6
370,     5,     5,     9,     7,     0,     7,     5,     4,     6,     1,     1,     4,     2,     3,     2,     3,     7,     5,     0,     3
371,     2,     4,     1,    10,     4,     6,     8,     6,     1,    10,     9,     5,     8,     2,     7,     7,     7,     4,     6,     8
372,     6,     7,     9,     3,     1,     8,     5,     4,     5,     0,     0,     6,     4,     2,     2,     5,     8,     4,     2,     2
373,     3,     3,     4,     8,     2,     2,     6,     8,     2,     7,     9,     7,     8,     6,     5,     7,     6,     6,     5,     7
374,     6,     5,     1,     4,     3,     6,     6,     4,     6,     7,     1,     3,     4,     8,     5,     5,     8,     2,     6,     1
375,     2,     1,     1,     7,     4,     5,    10,     4,     2,     9,     7,     5,     6,     1,     4,     4,     8,     8,     7,     5
376,     9,     8,     5,     8,     9,     6,     9,     1,     6,     3,     1,     5,     5,     2,     1,     2,     1,     5,     7,     2
377,     7,     7,     7,     7,     0,     8,     6,     6,     8,     4,     0,     5,     3,     1,     2,     7,     6,     6,     1,     1
378,     1,     0,     3,     7,     0,    10,     8,     4,     1,     8,     7,     4,     9,     2,     5,     4,     7,     5,     5,     7
379,     0,     4,     2,     8,     1,     9,     8,     7,     1,    10,     9,     6,     7,     2,     6,     5,    10,     4,     5,     7
380,     9,     9,     9,     8,     9,     6,     7,     4,     3,     3,     0,     3,     2,     4,     2,     7,     1,     4,     3,     3
381,     5,     8,    10,     4,     0,     6,     5,     5,     8,     1,     0,     6,     7,     2,     5,     5,     8,     4,     0,     3
382,     2,     0,     3,     7,     1,     6,     6,     3,     2,    10,     9,     4,     7,     2,     5,     6,     6,     5,     5,     6
383,     3,     5,     8,     7,     0,     6,     5,     3,     8,     1,     2,     3,     0,     2,     1,     5,     7,     5,     0,     1
384,     3,     4,     1,     8,     1,     6,     8,     5,     2,     9,     7,     6,     7,     2,     7,     4,     9,     3,     5,     6
385,     1,     1,     1,     9,     1,     4,     8,     6,     2,     9,     6,     7,     7,     3,     7,     5,    10,     4,     6,     4
386,    10,     8,     8,     8,     8,     6,     8,     5,     4,     0,     0,     2,     4,     0,     0,     7,     2,     4,     9,     1
387,     7,     5,     9,     5,     0,     7,     4,     4,     6,     3,     1,     8,     3,     2,     2,     7,     8,     8,     2,     3
388,     3,     6,     9,     7,     0,     6,     6,     5,     8,     2,     0,     5,     2,     1,     5,     5,     7,     2,     0,     1
389,     7,     4,     7,     8,     0,     5,     3,     0,     7,     2,     0,     2,     2,     4,     3,     6,     7,     4,     1,     8
390,     1,     2,     1,     8,     1,     8,     8,     4,     1,     9,     8,     7,     8,     2,     8,     5,     9,     8,     7,     7
391,     1,     3,     3,     8,     2,     3,     9,     4,     1,     9,     8,     7,     5,     2,     8,     5,     9,     4,     6,     8
392,     5,     6,     8,     6,     0,     5,     7,     5,     5,     0,     1,     6,     2,     1,     2,     5,     7,     1,     0,     4
393,     7,     2,     7,     8,     6,     6,     6,     4,     2,     8,     3,     7,     4,     9,     3,     4,     8,     6,     4,     2
394,     9,     7,     9,     8,     9,     6,     7,     5,     4,     2,     3,     2,     2,     0,     0,     2,     2,     5,     5,     2
395,     2,     1,     4,     7,     3,     5,     8,     6,     1,     7,     7,     5,     7,     3,     7,     5,     7,     7,     5,     6
396,    10,     9,     8,     8,     8,     6,    10,     6,     2,     3,     1,     6,     1,     2,     2,     4,     1,     3,     3,     3
397,    10,     8,     8,     9,     7,     5,     9,     4,     8,     3,     4,     6,     6,     0,     4,     5,     2,     5,     4,     1
398,    10,     5,     6,     8,     8,     9,    10,     4,     4,     1,     1,     2,     4,     2,     2,     5,     2,     4,     6,     2
399,     3,     7,     9,     7,     0,     7,     3,     5,    10,     1,     1,     4,     3,     3,     3,     7,     7,     6,     1,     1
400,    10,     7,     7,    10,    10,     9,     9,     4,     5,     2,     5,     8,     3,     1,     2,     6,     0,     3,     5,     1
401,     2,     5,     1,     7,     3,     7,     8,     5,     2,     9,     9,     3,     8,     1,     7,     5,     6,     4,     3,     6
402,     3,     0,     3,     9,     5,     8,     9,     4,     0,     7,     8,     6,     9,     3,     6,     9,     5,     7,     3,     4
403,     3,     1,     4,     9,     9,     6,     7,     4,     6,     8,     3,     5,     5,     2,     5,     4,     7,     1,     5,     3
404,     4,     2,     1,     4,     3,     7,    10,     6,     2,     8,     8,     5,     8,     4,     8,     5,     8,     4,     6,     7
405,    10,     8,     9,     9,     9,     7,    10,     4,     7,     2,     3,     0,     5,     4,     2,     4,     1,     4,     3,     1
406,    10,     5,     7,     6,    10,     8,     9,     5,     3,     0,     1,     6,     6,     3,     1,     3,     0,     4,     4,     2
407,     5,     2,     7,     5,     4,     7,     7,     5,     3,     6,     0,     8,     4,     4,     3,     7,     9,     3,     3,     2
408,    10,     9,     9,     7,     8,     7,    10,     3,     3,     5,     2,     7,     4,     5,     2,     5,     1,     5,     5,     3
409,     2,     1,     3,     7,     3,     5,     9,     7,     0,     7,     9,     6,     6,     2,     5,     4,     8,     5,     4,     7
410,     5,     8,     9,     4,     0,     5,     3,     3,     9,     0,     3,     4,     2,     3,     2,     5,     5,     5,     0,     6
411,     1,     4,     1,     8,     5,     6,    10,     6,     1,     9,     9,     6,     6,     2,     6,     4,     8,     4,     5,    10
412,     8,     9,     8,     8,     8,     6,     9,     3,     5,     1,     2,     6,     3,     5,     1,     7,     1,     6,     7,     3
413,    10,     7,     8,     9,     9,     4,    10,     7,     4,     4,     1,     5,     3,     2,     2,     6,     1,     4,     4,     1
414,     2,     1,     0,    10,     4,     7,     9,     5,     2,     6,     9,     4,     8,     2,     4,     5,     9,     5,     7,     5
415,     2,     7,     7,     3,     0,     6,     6,     3,     8,     3,     0,     6,     5,     1,     4,     6,    10,     6,     0,     2
416,     7,     0,     6,     7,     4,     6,     4,     7,     6,     9,     3,     6,     5,     7,     1,     7,     6,     4,     2,     1
417,     4,     7,     9,     6,     0,     7,     9,     4,     9,     1,     1,     9,     0,     1,     1,     2,     7,     6,     1,     1
418,     7,     1,     7,     5,     7,     5,     8,     7,     6,     7,     1,     6,     7,     7,     3,     4,     7,     7,     4,     3
419,     4,     2,     5,     5,     8,     4,     8,     6,     7,     6,     0,     6,     5,     7,     5,     5,     7,     3,     5,     0
420,    10,     8,    10,     9,     9,     3,     7,     4,     4,     2,     4,     8,     3,     3,     3,     5,     1,     6,     5,     4
421,     5,     3,     7,     6,     5,     6,     6,     5,     5,     8,     1,     5,     1,     5,     2,     8,     6,     4,     5,     2
422,     5,     3,     7,     5,     4,     8,     7,     5,     9,     9,     0,     4,     4,     5,     4,     7,     8,     5,     8,     3
423,     4,     4,     2,     8,     0,     6,     9,     5,     0,     8,     9,     6,     8,     4,     5,     6,     9,     5,     3,     8
424,     3,     6,     9,     8,     0,     7,     2,     8,     9,     3,     1,     5,     2,     0,     3,     5,     9,     6,     0,     1
425,     2,     1,     2,     9,     2,     6,     6,     5,     0,    10,     6,     4,     8,     1,     4,     3,     9,     8,     2,     5
426,     0,     3,     0,    10,     4,     5,     8,     4,     0,     7,     8,     7,     9,     2,     6,     5,     9,     7,     8,     7
427,     2,     1,     2,     7,     0,     6,     6,     6,     1,     9,     7,     7,     5,     5,     7,     5,    10,     8,     4,     7
428,     0,     1,     2,     9,     2,     8,     9,     6,     2,    10,     6,     5,     6,     2,     8,     6,     8,     5,     7,     3
429,     3,     1,     2,    10,     3,     6,     7,     6,     2,     7,     9,     8,     7,     0,     7,     6,     8,     3,     4,     6
430,     9,     8,     5,    10,     8,     5,     7,     4,     6,     1,     2,     2,     3,     4,     3,     8,     1,     4,     4,     2
431,     4,     7,     8,     8,     0,     9,     4,     8,     9,     1,     0,     6,     2,     0,     2,     1,     8,     6,     0,     4
432,     2,     2,     6,     8,     7,     6,     7,     5,     6,     9,     1,     7,     5,     6,     5,     5,     8,     5,     6,     1
433,     2,     2,     2,     4,     3,     5,     9,     5,     0,    10,     5,     4,     8,     3,     6,     5,     6,     2,     7,     3
434,     2,     1,     3,     8,     1,     8,     7,     5,     2,     9,     6,     6,     7,     2,     4,     3,    10,     8,     6,     6
435,     5,     4,     5,     7,     6,     7,     7,     6,     5,    10,     0,     7,     6,     8,     4,     6,     7,     3,     3,     0
436,    10,     9,     9,     8,     6,     8,    10,     7,     3,     2,     2,     4,     3,     4,     3,     3,     1,     2,     5,     0
437,     7,     5,    10,     8,     0,     7,     4,     7,     7,     1,     2,     5,     3,     0,     5,     8,     8,     4,     0,     4
438,     4,     5,    10,     5,     0,     7,     4,     9,     5,     0,     0,     5,     2,     0,     3,     6,     9,     5,     1,     3
439,     4,     5,    10,     7,     0,     7,     5,     5,     9,     2,     0,     3,     6,     4,     2,     7,     8,     6,     0,     2
440,     1,     5,     2,     9,     0,     4,     7,     5,     0,     8,     8,     5,     7,     2,     5,     5,     7,     5,     2,     6
441,     6,     5,     9,     5,     1,     6,     7,     6,     8,     4,     0,     4,     2,     4,     4,     5,    10,     3,     1,     2
442,     2,     1,     1,     9,     4,     6,     6,     5,     0,     9,     7,     6,     6,     1,     9,     2,     7,     6,     8,     5
443,     1,     1,     3,     9,     4,     7,     7,     8,     1,    10,     6,     7,     9,     2,     7,     4,     9,     6,     6,     5
444,    10,     7,     7,     9,     8,     7,     9,     3,     6,     3,     3,     3,     6,     3,     3,     3,     0,     4,     3,     4
445,     5,     6,    10,     5,     0,     9,     2,     4,     9,     0,     0,     9,     4,     4,     3,     5,     9,     6,     0,     3
446,     3,     9,     8,     5,     0,     8,     4,     4,     9,     3,     1,     6,     3,     2,     2,     7,     8,     3,     1,     5
